bleu;sari;fkgl;pbert_ref;rbert_ref;fbert_ref;pbert_src;rbert_src;fbert_src;ppl_mean;ppl_std;lens;lens_std;intra_dist1;intra_dist2;inter_dist1;inter_dist2;Compression ratio;Sentence splits;Levenshtein similarity;Exact copies;Additions proportion;Deletions proportion;Lexical complexity score;file_id
38.0382;34.2635;8.2254;62.5484;63.335;62.8941;90.6823;83.149;86.8567;76.5649;64.587;58.0584;16.311;93.0299;99.4216;30.0239;81.1249;0.9093;1.0303;0.8704;0.068;0.0791;0.1615;8.56;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l3_article_paragraphs/newsela_manual_v0_v3_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
22.2921;40.531;3.8477;45.2761;55.8347;50.4251;62.7616;69.0527;65.8204;89.6588;98.335;38.2752;25.8731;83.9294;95.2166;23.1974;69.3958;1.3123;2.9497;0.7177;0.0065;0.3636;0.2121;8.4902;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l3_article_paragraphs/newsela_manual_v0_v3_test/lambda10.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
56.4225;36.262;8.2208;79.5048;73.7848;76.5755;88.2016;80.4007;84.2348;81.1996;107.5942;59.1492;20.0025;91.9195;97.7543;27.9187;77.8421;0.9148;1.0476;0.8488;0.0685;0.0895;0.1847;8.5872;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v1_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
53.5285;37.655;7.1756;77.6001;72.3238;74.8905;85.3485;78.0472;81.6384;121.0761;751.8046;58.1787;21.7485;91.441;97.3957;27.7547;77.8949;0.9173;1.1859;0.8286;0.0493;0.1225;0.2127;8.573;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v1_test/lambda2.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
45.1626;35.7177;4.2039;65.095;63.91;64.3651;70.9593;68.3536;69.5381;185.7258;1047.9161;40.611;28.0631;85.7611;92.7788;24.9499;73.141;1.0269;2.1225;0.7571;0.0219;0.2251;0.2469;8.5301;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v1_test/lambda5.0_pretopk100_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
45.9675;35.8919;5.7096;68.499;66.9545;67.6544;74.3056;71.7127;72.955;90.0862;111.903;45.0761;26.4699;87.549;96.1325;25.7086;74.7189;1.0292;1.7136;0.7798;0.0301;0.2233;0.2323;8.4874;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v1_test/lambda5.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
44.7692;39.2626;7.1197;69.4879;66.8085;68.0859;85.7162;78.2982;81.947;122.5444;764.3782;57.097;21.3544;91.4356;97.6755;28.001;78.2032;0.9173;1.1923;0.8313;0.0482;0.1224;0.2111;8.5589;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v2_test/lambda2.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
42.0884;40.1168;6.368;66.4403;64.4243;65.3758;81.4106;74.8485;78.0771;89.1199;125.7;52.2306;24.0594;90.1898;97.6693;26.7577;76.9599;0.9408;1.3762;0.805;0.0312;0.1653;0.2344;8.5035;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v2_test/lambda3.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
37.9572;39.7513;4.1113;58.6188;59.3313;58.8417;71.0202;68.1344;69.4557;188.3427;1065.3771;40.0272;27.6699;85.7636;92.7084;25.1444;73.4081;1.022;2.1465;0.7563;0.0227;0.2245;0.2491;8.5375;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v2_test/lambda5.0_pretopk100_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
38.5325;39.7352;5.6438;61.6268;62.235;61.8629;74.5585;71.832;73.1399;89.7911;113.3199;44.1336;26.4139;87.4775;96.1169;25.8975;74.941;1.0271;1.7293;0.7808;0.0312;0.223;0.2327;8.4837;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v2_test/lambda5.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
